area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",salons,AD BEAUTY LOUNGE LADIES PARLOUR,"Gali Number 8, Block B, Sant Nagar, Burari, Delhi, 110084, India",5.0,506.0,,081788 66123,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,BEAUTY LOUNGE BY SRISH MAKEOVER,"Mandir Wali Gali, near bikaner Sweets, Vijay Colony, Block B, Kamal Pur, Burari, Delhi, 110084, India",4.9,172.0,https://www.instagram.com/srish_makeover_/,096508 28677,"beauty_salon, makeup_artist, tanning_studio, massage_spa, massage, spa, hair_salon, hair_care, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Nails by Rashika unisex salon,"shop no 2, Labour Chowk, 84 khasra no 877, Block B, Sant Nagar, Burari, Delhi, 110084, India",5.0,48.0,https://nails-by-rashika-unisex.grexa.site/,096254 10968,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Poonam makeovers,"52 Shop no, 1814, near Kali Mata Mandir or Dal godam, near Laxmi sweets, Shiv Kunj, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",5.0,37.0,https://www.instagram.com/harshitpandey51758,085100 63564,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,"DP Studio Unisex Salon - Nailart , Hair treatment, Beauty & Bridal Makeup Best Salon in burari","Himgiri Enclave, H-12, Pepsi Rd, Harit Vihar, Sant Nagar, Burari, Delhi, 110084, India",4.9,7.0,,088403 59882,"makeup_artist, nail_salon, beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Neeta Mehra Makeover,"A block, Plot number 192, 3 number gali, Harit Vihar, Himigiri Enclave, Burari, Delhi, 110084, India",5.0,26.0,,097736 71469,"makeup_artist, nail_salon, beauty_salon, school, educational_institution, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Adonize The Family Salon,"First Floor Of, Bank Of Baroda, 760, Main Road, opposite Neelkanth Appartment, Vijay Colony, Block B, Sant Nagar, Burrari, Delhi, 110084, India",4.5,30.0,https://adonizethesalon.wixsite.com/salon-1/,,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,UNISEX SALON & ACADEMY,"KH.NO.760, Main 100, Foota Road, above Bank Of Baroda, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",2.6,10.0,https://www.instagram.com/makeupstoriesbyjanvi?igsh=cWM2YWlpOW5oaGl0,083684 68300,"makeup_artist, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,MUSCULUS The Fitness Studio,"863/3, 100 Feet Rd, Parvatiya Anchal, Maurya Enclave, Sant Nagar, Burari, Delhi, 110084, India",4.9,329.0,,095604 50129,"fitness_center, gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,The Wellness club gym [ burari branch ],"3rd floor, Som bazar road, near Prachin Shani Dham Mandir, Burari, New Delhi, Delhi, 110084, India",4.8,69.0,,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Real Fitness Gym,"Khasra no, 540, opposite Shalimar Palace, Data Ram Tyagi Enclave, Block A, Extension Colony, Burari, Delhi, 110084, India",5.0,69.0,,092174 74150,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,The Robust Gym & Crossfit,"Burari Rd, Conductor Colony, Burari, Delhi, 110084, India",4.8,72.0,,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,16 Inches Fitness Club GYM,"KH NO.-806/807, PLOT NO.-5, Burari Rd, near THE COUSTOM SHOP, near DELHI, Prem Nagar, Baba Colony, Burari, Delhi, 110084, India",5.0,24.0,,098712 10263,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,The Gym,"Near Bank Of Baroda ,Main Road, Sant Nagar Marg, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.3,264.0,https://www.dronacharyathegym.com/contact-us/,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Iron Sculpt Gym,"1st Floor, above Baniye ki dukan, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.6,311.0,,099688 82244,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,REVIVE gym,"A-133, Gali Number 1, near batra property, Hardev Nagar, Laldora, Jharoda, Jharoda Majra Burari, Delhi, 110084, India",5.0,62.0,,,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Country Fitness Gym sant nagar burari,"863/3 main, Burari Rd, above ashokis garment, opposite vijay sales, Parvatiya Anchal, Maurya Enclave, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",4.1,478.0,http://www.countryfitness.in/,088029 99902,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,FITNOMICS FITNESS GYM,"A -16, Main road, Hans Residential Colony, Kamal Pur, Burari, Delhi, 110084, India",5.0,76.0,,087459 99004,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,SK Fitness,"khasra no 5, bus stand, 16/1, main road, near nathupura, Shastri Park Extension Colony, Garhi Khasru, Shankarpura, Burari, Delhi, 110084, India",5.0,190.0,,085279 76366,"fitness_center, gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Aqua Fitness Studio,"Q54R+WV6 Cluster_civil Lines 5 Shakti Enclave, Cluster_civil Lines 4, 149/2/3, Shanti Bhavan Rd, Ajit Vihar, Burari Garhi, Burari, Delhi, 110084, India",4.7,111.0,,098114 25388,"fitness_center, gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",gyms,Body Fuel Gym,"A-1 Block, Kh.No. 19/4/01, 100 Feet Rd, Sant Nagar Extension, West Sant Nagar, Burari, Delhi, 110084, India",4.5,179.0,,093547 00618,"gym, sports_activity_location, health, point_of_interest, establishment",OPERATIONAL,
