name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status
Kaku bakers,"Burari, Delhi",110084,bakeries,5.0,20,0,0,1,0,,9,OPERATIONAL
THE BLISS BAKE,"Burari, Delhi",110084,bakeries,4.8,26,0,0,1,0,,9,OPERATIONAL
RED Bakery and Snacks,"Burari, Delhi",110084,bakeries,4.3,41,0,0,1,0,,13,OPERATIONAL
Bakery Point The Cake Shop,"Burari, Delhi",110084,bakeries,3.5,33,0,0,1,0,,6,OPERATIONAL
Cake Lovers,"Burari, Delhi",110084,bakeries,3.9,233,0,0,1,1,2.0,6,OPERATIONAL
Arun Bakers,"Burari, Delhi",110084,bakeries,4.6,10,0,0,1,0,,9,OPERATIONAL
Sugar rush fairy (Home bakers),"Burari, Delhi",110084,bakeries,5.0,33,0,0,1,0,,6,OPERATIONAL
The Cake Room & Pastry Shop,"Burari, Delhi",110084,bakeries,4.5,53,0,0,1,0,,6,OPERATIONAL
Swankit Cakes and Flowers,"Burari, Delhi",110084,bakeries,4.7,14,0,1,1,0,,6,OPERATIONAL
Arya Cake Point N Baker's,"Burari, Delhi",110084,bakeries,5.0,11,0,1,0,0,,6,OPERATIONAL
Bake’s N Bite’s Bakery and Confectionery,"Burari, Delhi",110084,bakeries,5.0,5,0,1,1,0,,9,OPERATIONAL
Ranaji Baker's and confectioners,"Burari, Delhi",110084,bakeries,4.1,57,0,0,1,0,,6,OPERATIONAL
Hariram sweets,"Burari, Delhi",110084,bakeries,4.0,2038,0,1,1,1,2.0,10,OPERATIONAL
Khandelwal Cake & Pastry Shop,"Burari, Delhi",110084,bakeries,3.5,121,0,0,1,1,2.0,6,OPERATIONAL
AKD Bansiwal Bakery & Gift Gallery,"Burari, Delhi",110084,bakeries,4.6,9,0,0,1,0,,9,OPERATIONAL
PARAS BAKERY,"Burari, Delhi",110084,bakeries,5.0,12,0,0,1,0,,6,OPERATIONAL
Bohra Bakers,"Burari, Delhi",110084,bakeries,3.8,37,0,0,1,0,,6,OPERATIONAL
Samridhi Pharmacy,"Burari, Delhi",110084,pharmacies,4.9,59,0,0,1,0,,5,OPERATIONAL
Shri Raj Pharmacy-- best medical shop in burari,"Burari, Delhi",110084,pharmacies,5.0,23,0,0,1,0,,5,OPERATIONAL
Vinayak Pharmacy,"Burari, Delhi",110084,pharmacies,4.9,35,0,0,1,0,,6,OPERATIONAL
Jan Kalyan Chemist,"Burari, Delhi",110084,pharmacies,5.0,51,0,0,1,0,,5,OPERATIONAL
Shradha Medicos,"Burari, Delhi",110084,pharmacies,4.1,169,0,0,1,0,,7,OPERATIONAL
Janta medical store,"Burari, Delhi",110084,pharmacies,4.2,174,0,0,1,0,,8,OPERATIONAL
The Chemist,"Burari, Delhi",110084,pharmacies,4.6,21,0,0,1,0,,6,OPERATIONAL
K.P. PHARMACY,"Burari, Delhi",110084,pharmacies,4.9,193,0,1,1,0,,6,OPERATIONAL
OM PHARMACY SANT NAGAR,"Burari, Delhi",110084,pharmacies,3.9,16,0,0,1,0,,5,OPERATIONAL
PRAKASH PHARMACY- Best place for all medical needs,"Burari, Delhi",110084,pharmacies,4.4,7,0,0,1,0,,5,OPERATIONAL
Aapka Dawa Bazar,"Burari, Delhi",110084,pharmacies,3.3,21,0,0,1,0,,5,OPERATIONAL
Sri Krishna Medicos,"Burari, Delhi",110084,pharmacies,4.9,18,0,1,1,0,,6,OPERATIONAL
Sunny Pharmacy,"Burari, Delhi",110084,pharmacies,5.0,2,0,0,0,0,,4,OPERATIONAL
Om shiv medicos,"Burari, Delhi",110084,pharmacies,4.9,58,0,0,1,0,,5,OPERATIONAL
Your chemist shop,"Burari, Delhi",110084,pharmacies,5.0,1,0,0,1,0,,5,OPERATIONAL
Nishant Homeo Pharmacy,"Burari, Delhi",110084,pharmacies,4.5,80,0,0,1,0,,5,OPERATIONAL
MY CHEMIST,"Burari, Delhi",110084,pharmacies,4.6,10,0,1,1,0,,6,OPERATIONAL
LIFECARE CARE PHARMACY,"Burari, Delhi",110042,pharmacies,5.0,11,0,0,1,0,,6,OPERATIONAL
Rai Medicos (Manoj),"Burari, Delhi",110084,pharmacies,4.9,98,0,0,1,0,,5,OPERATIONAL
Rai Pharmacy,"Burari, Delhi",110084,pharmacies,5.0,1,0,0,1,0,,5,OPERATIONAL
Rishita Education Hub Center for Spoken English Math Accountancy Physics Economics Computer Home Tutor Tally and Home Tuition,"Burari, Delhi",110084,tutoring centers,4.9,40,0,1,1,0,,9,OPERATIONAL
Saini Classes Burari,"Burari, Delhi",110084,tutoring centers,4.9,54,0,0,1,0,,2,OPERATIONAL
Akshara Tutors (1st to 12th All subjects),"Burari, Delhi",110084,tutoring centers,5.0,19,0,1,1,0,,3,OPERATIONAL
GS Cracker,"Burari, Delhi",110084,tutoring centers,4.9,70,0,0,0,0,,2,OPERATIONAL
Prashant Classes,"Burari, Delhi",110084,tutoring centers,5.0,67,0,0,1,0,,2,OPERATIONAL
Computer Science and IP Tuition,"Burari, Delhi",110084,tutoring centers,5.0,262,0,1,1,0,,4,OPERATIONAL
(SUNSHIINE CLASSES,"Burari, Delhi",110084,tutoring centers,4.9,66,0,1,1,0,,3,OPERATIONAL
VBC [Vikas Bhatt Classes],"Burari, Delhi",110084,tutoring centers,4.9,340,0,1,1,0,,2,OPERATIONAL
THE VISION ACADEMY (HOME TUITION PROVIDER),"Burari, Delhi",110084,tutoring centers,5.0,53,0,1,1,0,,2,OPERATIONAL
Bhautik Study,"Burari, Delhi",110084,tutoring centers,5.0,121,0,1,1,0,,3,OPERATIONAL
DHARMA ACADEMY,"Burari, Delhi",110084,tutoring centers,4.9,95,0,0,1,0,,4,OPERATIONAL
Sanjay Classes,"Burari, Delhi",110084,tutoring centers,4.8,322,0,0,1,0,,4,OPERATIONAL
AI INFOTECH COMPUTER ACADEMY,"Burari, Delhi",110084,tutoring centers,4.9,149,0,1,1,0,,3,OPERATIONAL
Sharda education institute,"Burari, Delhi",110084,tutoring centers,5.0,15,0,0,1,0,,3,OPERATIONAL
Guru Dronacharya Academy,"Burari, Delhi",110084,tutoring centers,4.9,49,0,1,1,0,,7,OPERATIONAL
NEGI TUTORIALS,"Burari, Delhi",110084,tutoring centers,4.2,27,0,1,1,0,,3,OPERATIONAL
K.D Education Academy,"Burari, Delhi",110084,tutoring centers,5.0,113,0,1,1,0,,2,OPERATIONAL
TUITION HUB,"Burari, Delhi",110084,tutoring centers,5.0,12,0,1,1,0,,3,OPERATIONAL
Garima Tuition Centre,"Burari, Delhi",110084,tutoring centers,5.0,12,0,0,1,0,,2,OPERATIONAL
THE LEARNING ACADEMY,"Burari, Delhi",110084,tutoring centers,5.0,6,0,0,1,0,,6,OPERATIONAL
FURNITURE ZONE,"Burari, Delhi",110084,furniture stores,4.3,6,0,0,1,0,,9,OPERATIONAL
R K Furniture,"Burari, Delhi",110084,furniture stores,5.0,41,0,0,1,0,,8,OPERATIONAL
Shree Ganesh Furniture,"Burari, Delhi",110084,furniture stores,5.0,31,0,1,1,0,,4,OPERATIONAL
Shagun Furniture,"Burari, Delhi",110084,furniture stores,3.4,26,0,0,1,0,,6,OPERATIONAL
Laxmi Furniture,"Burari, Delhi",110084,furniture stores,4.5,17,0,0,1,0,,6,OPERATIONAL
Gumber Furniture,"Burari, Delhi",110084,furniture stores,3.5,16,0,0,1,0,,6,OPERATIONAL
V.K Furniture House,"Burari, Delhi",110084,furniture stores,4.2,5,0,0,1,0,,6,OPERATIONAL
New Vishal Furniture And foams,"Burari, Delhi",110084,furniture stores,3.7,26,0,1,1,0,,7,OPERATIONAL
Unique sofa makers,"Burari, Delhi",110084,furniture stores,5.0,38,0,0,1,0,,6,OPERATIONAL
Narendra Furniture House,"Burari, Delhi",110084,furniture stores,3.9,14,0,0,1,0,,6,OPERATIONAL
COCKTAIL FURNITURE RAVI CNC BURARI🪚,"Burari, Delhi",110084,furniture stores,4.1,45,0,1,1,0,,9,OPERATIONAL
Vikram Furniture,"Burari, Delhi",110084,furniture stores,5.0,4,0,0,1,0,,7,OPERATIONAL
NJ Enterprise salon furniture,"Burari, Delhi",110084,furniture stores,4.9,73,0,1,1,0,,4,OPERATIONAL
GOLDEN WOOD HOMES,"Burari, Delhi",110084,furniture stores,2.7,29,0,0,1,0,,6,OPERATIONAL
Star furniture,"Burari, Delhi",110084,furniture stores,3.7,3,0,0,1,0,,6,OPERATIONAL
Negi Furniture House,"Burari, Delhi",110084,furniture stores,4.3,8,0,0,1,0,,6,OPERATIONAL
ShriRam furniture house,"Burari, Delhi",110084,furniture stores,3.5,2,0,0,1,0,,6,OPERATIONAL
Hind Furniture & Plywood,"Burari, Delhi",110084,furniture stores,4.5,2,0,0,1,0,,7,OPERATIONAL
Bansal Enterprises Furniture,"Burari, Delhi",110084,furniture stores,4.2,5,0,1,1,0,,7,OPERATIONAL
Malik chair repair,"Burari, Delhi",110084,furniture stores,4.9,106,0,0,1,0,,6,OPERATIONAL
Katyayani Mobiles (Sant Nagar),"Burari, Delhi",110084,mobile shops,4.9,692,0,0,1,0,,4,OPERATIONAL
